No,Product Name,Price,Currency,SKU,Brand,Description,URL,Image
15,"مجموعة بالانس جاردن المتكاملة",155.00,SAR,"Z.17828963457065544","","نمو طبيعي ومتوازن يبدأ من الجذور وحتى أطراف النبات مجموعة متكاملة تم تصميمها من تاج الزراعية بعناية لتحسين خواص الوسط الزراعي وتعزيز نمو النباتات بطريقة صحية وطبيعية.تحتوي المجموعة على مكونات تعمل بان","https://tajagri.sa/products/مجموعة-بالانس-جاردن-المتكاملة","https://media.zid.store/thumbs/7de0e23a-34de-4534-a0e6-ecf31aab83f7/0d2d390c-c0d9-40fe-9cbc-4ca92dec9848-thumbnail-1000x1000-70.jpg"
16,"",,SAR,"","","","https://tajagri.sa/products/مجموعة-مكافحة-الأفات-الشاملة",""
17,"بذور  بقدونس 50 جرام",3.00,SAR,"Z.17828407506266804","","بذور بقدونس بنسبة إنبات عالية تبدأ من 70% ونسبة نقاوة 90% ودرجة حموضة من 5 إلى 7 درجة, تتمتع بقدرة عالية على تحمل مختلف الظروف الجوية, غير معدلة وراثيًا أو كيميائيًا","https://tajagri.sa/products/بقدونس-1-كيلو","https://media.zid.store/thumbs/7de0e23a-34de-4534-a0e6-ecf31aab83f7/22f546ec-e8de-4c95-9e9c-592262b32641-thumbnail-1000x1000-70.jpg"
18,"بذور سلق  باكت 50جرام",3.00,SAR,"Z.17828402047201796","","بذور سلق ذات جودة عالية لنباتات قوية وغنية بالفيتامينات، مناسبة للحدائق والزراعة المنزلية. متوفرة في متجر تاج الزراعية بخيارات موثوقة للمزارعين والهواة.","https://tajagri.sa/products/بذور-سلق-باكت-100-جرام","https://media.zid.store/thumbs/7de0e23a-34de-4534-a0e6-ecf31aab83f7/f644e003-2984-4439-adaa-529b888de76f-thumbnail-1000x1000-70.jpg"
19,"بذور ملوخية بلدي 50 جرام",3.00,SAR,"Z.17828393572973602","","تتميز هذه الملوخية بالجودة العالية والطعم الشهي والفوائد الصحية المتعددة. استمتع بتحضير وجبات شهية ومغذية مع ملوخية بلدي الطازجة | بذور ورقيات، شركة تاج الزراعية","https://tajagri.sa/products/ملوخية-بلدي-1-كيلو","https://media.zid.store/thumbs/7de0e23a-34de-4534-a0e6-ecf31aab83f7/ddae1347-06c7-43a4-a5c3-66dba8de14b3-thumbnail-1000x1000-70.jpg"
20," بذور كزبرة  50جرام",3.00,SAR,"Z.17828380036960998","","بذور كزبرة، ذور عالية الجودة تُعزز الحدائق المنزلية والمزارع بنكهتها الرائعة وتستخدم في تحضير العديد من الأطباق المشهية | بذور ورقيات، شركة تاج الزراعية","https://tajagri.sa/products/بذور-كزبرة-500-جرام","https://media.zid.store/thumbs/7de0e23a-34de-4534-a0e6-ecf31aab83f7/8f7f614e-6bbc-4f39-a085-b5be1c0b4619-thumbnail-1000x1000-70.jpg"
21,"مابكو جرين مكس2كجم 10-52-10",35.00,SAR,"6285402334944","","مابكو جرين مكس2كجم 10-52-10 | شركة تاج الزراعية يقدم مجموعة متنوعة من أسمدة ومبيدات زراعية عالية الجودة. اجعل زراعتك أكثر نجاحًا","https://tajagri.sa/products/مابكو-جرين-مكس2كجم-10-52-10","https://media.zid.store/thumbs/7de0e23a-34de-4534-a0e6-ecf31aab83f7/16502c41-8c6a-4325-a3e9-c15a3befde64-thumbnail-1000x1000-70.jpg"
22,"ام كي بي تاج 34-52-0 كيس 25كيلو",287.50,SAR,"6285402335651","","ام كي بي (MKP) تاج 34-52-0 بكيس 25 كيلو - الخيار الأمثل لتحسين نمو محاصيلك , أسمدة زراعية | شركة تاج الزراعية","https://tajagri.sa/products/ام-كي-بي-تاج-34-52-0-كيس-25كيلو","https://media.zid.store/thumbs/7de0e23a-34de-4534-a0e6-ecf31aab83f7/8cdf4c3f-443a-4b6a-858a-7db1bc36ec44-thumbnail-1000x1000-70.jpg"
23,"مانول زيت معدني 1 لتر",28.75,SAR,"6295402340883","","مانول زيت معدني | شركة تاج الزراعية ,يقدم حلاً متكاملاً لاحتياجاتك الزراعية. مستلزمات تساعدك في تحقيق نجاح زراعتك","https://tajagri.sa/products/مانول-زيت-معدني","https://media.zid.store/thumbs/7de0e23a-34de-4534-a0e6-ecf31aab83f7/33aaac1f-cabc-44b3-a33c-e24f4a0ec675-thumbnail-1000x1000-70.jpg"
24,"بورون 10% حجم 5 لتر",145.00,SAR,"6285402334753","","مركب يحتوي على عنصر البورن الضروري لبناء الخلايا وزيادة الانتاج وتسهيل حركة المواد داخل النبات وخاصة البوتاسيوم","https://tajagri.sa/products/بورون-10-حجم-5-لتر","https://media.zid.store/thumbs/7de0e23a-34de-4534-a0e6-ecf31aab83f7/eed79550-898b-4a5f-a03a-5555ed67efb6-thumbnail-1000x1000-70.jpg"
25,"تيبوزول مبيد فطري 25%  1لتر",80.00,SAR,"3400001","","تيبوزول 25% مبيدات فطرية - الجودة والفاعلية في منتج واحد, يتميز بقدراته على استئصال الامراض الفطرية بالإضافة الى قدراته الوقائية | شركة تاج الزراعية","https://tajagri.sa/products/تيبوزول-25","https://media.zid.store/thumbs/7de0e23a-34de-4534-a0e6-ecf31aab83f7/af4fa66b-ff85-47fd-a285-fd9fc21c5a9b-thumbnail-1000x1000-70.jpg"
26,"جروميكس عبوة 1كجم",51.75,SAR,"1100082","","سماد شجر، جروميكس عبوة 1 كجم يوفر للأشجار العناصر الغذائية الأساسية التي تحتاجها للنمو والتطور. بتركيبته الغنية بالعناصر | مستلزمات زراعية، شركة تاج الزراعية","https://tajagri.sa/products/جروميكس-عبوة-1كجم","https://media.zid.store/thumbs/7de0e23a-34de-4534-a0e6-ecf31aab83f7/7c32ef45-37ce-48ed-a688-c3973dd3245c-thumbnail-1000x1000.png"
27,"احماض امينية حرة 25% + 7 % نيتروجين",28.75,SAR,"1100088","","أحماض أمينية حرة 25% + 7% نيتروجين لتحسين محصولك, الجودة التي تثق بها للزراعة , ابدأ في تعزيز مزرعتك | أسمدة زراعية, شركة تاج الزراعية","https://tajagri.sa/products/احماض-امينية-حرة-25-7-نيتروجين-عبوة","https://media.zid.store/thumbs/7de0e23a-34de-4534-a0e6-ecf31aab83f7/7ae4369b-2958-4816-9d4e-bf7678cce0b7-thumbnail-1000x1000-70.jpg"
28,"هيومك صيني كيهيومك 1ك",25.00,SAR,"1100079","","سماد زراعي هيومك اسيد صينى من تاج الزراعية، لخفض قلوية التربة وتحسين امتصاص العناصر من قبل جذور النبات | أسمدة زراعية، شركة تاج الزراعية","https://tajagri.sa/products/هيومك-صيني-كيهيومك-1ك","https://media.zid.store/thumbs/7de0e23a-34de-4534-a0e6-ecf31aab83f7/ecf5b5c9-6d07-4a39-ba2e-2f5fd5af23c3-thumbnail-1000x1000-70.webp"
29," مانفيرت موفلي كالسيوم 1كيلو",172.50,SAR,"1100089","","سماد زراعي مانفيرت موفيلي الكالسيوم، من شركة بايوفيرت الإسبانية، يحتوي على عنصر الكالسيوم معقد واحماض امينية حرة | أسمدة مركبة، شركة تاج الزراعية","https://tajagri.sa/products/مانفيرت-موفلي-كالسيوم-1كيلو","https://media.zid.store/thumbs/7de0e23a-34de-4534-a0e6-ecf31aab83f7/6e15193f-6456-4781-83f8-ba5aec5e8318-thumbnail-1000x1000-70.jpg"
30,"حديد صيني6% كهيومك 1 كيلو",57.50,SAR,"1100078","","حديد زراعي صيني 6% كهيومك| منتج زراعي بتركيز 6% حديد، يعزز نمو النباتات ويكافح نقص الحديد، يحسن لون وجودة الأوراق | أسمدة زراعية، شركة تاج الزراعية","https://tajagri.sa/products/حديد-صيني6-كهيومك","https://media.zid.store/thumbs/7de0e23a-34de-4534-a0e6-ecf31aab83f7/c049965e-0e16-4675-9f43-105e110a33f7-thumbnail-1000x1000-70.jpg"
